time_utc,open,high,low,close,tick_volume,spread
2025-04-23 13:15:00+00:00,1.14056,1.1408800000000001,1.1395,1.13973,892,0
2025-04-23 13:30:00+00:00,1.13973,1.14063,1.139,1.14049,868,0
2025-04-23 13:45:00+00:00,1.14049,1.1406,1.13994,1.14021,832,0
2025-04-23 14:00:00+00:00,1.14021,1.1405,1.13862,1.13997,1173,0
2025-04-23 14:15:00+00:00,1.13997,1.14042,1.1388,1.13975,969,0
2025-04-23 14:30:00+00:00,1.13975,1.14152,1.13975,1.14144,967,0
2025-04-23 14:45:00+00:00,1.14141,1.14161,1.1406,1.1411,979,0
2025-04-23 15:00:00+00:00,1.1411,1.14197,1.1406399999999999,1.14096,1156,0
2025-04-23 15:15:00+00:00,1.14096,1.14117,1.14021,1.14039,973,0
2025-04-23 15:30:00+00:00,1.1404,1.14134,1.14021,1.14078,1112,0
2025-04-23 15:45:00+00:00,1.14078,1.14136,1.14026,1.14057,1031,0
2025-04-23 16:00:00+00:00,1.14054,1.1412200000000001,1.14031,1.14046,1346,0
2025-04-23 16:15:00+00:00,1.14046,1.14107,1.13979,1.13981,1137,0
2025-04-23 16:30:00+00:00,1.13981,1.14082,1.13794,1.13959,2672,0
2025-04-23 16:45:00+00:00,1.13945,1.13975,1.1333,1.1333199999999999,3302,0
2025-04-23 17:00:00+00:00,1.13334,1.1369799999999999,1.13281,1.13687,2882,0
2025-04-23 17:15:00+00:00,1.13687,1.13813,1.13492,1.13581,2632,0
2025-04-23 17:30:00+00:00,1.13581,1.13652,1.13522,1.13582,2331,0
2025-04-23 17:45:00+00:00,1.1358,1.13766,1.13447,1.13533,2770,0
2025-04-23 18:00:00+00:00,1.13534,1.13593,1.13461,1.13507,2278,0
2025-04-23 18:15:00+00:00,1.13509,1.13834,1.13441,1.13796,2520,0
2025-04-23 18:30:00+00:00,1.13799,1.138,1.13647,1.13693,2012,0
2025-04-23 18:45:00+00:00,1.13689,1.1369799999999999,1.13469,1.1348799999999999,1776,0
2025-04-23 19:00:00+00:00,1.1348799999999999,1.13606,1.1344400000000001,1.13563,2125,0
2025-04-23 19:15:00+00:00,1.13563,1.13658,1.13484,1.13508,1483,0
2025-04-23 19:30:00+00:00,1.13508,1.1355,1.13462,1.13487,1282,0
2025-04-23 19:45:00+00:00,1.13487,1.13513,1.13367,1.13399,982,0
2025-04-23 20:00:00+00:00,1.13399,1.1344,1.13313,1.13316,1053,0
2025-04-23 20:15:00+00:00,1.13316,1.13351,1.13262,1.13318,1006,0
2025-04-23 20:30:00+00:00,1.13318,1.13408,1.13307,1.13311,853,0
2025-04-23 20:45:00+00:00,1.13311,1.1335600000000001,1.13252,1.1329500000000001,975,0
